p,p_mod40,S_p,sgn
62791,31,1,1
62851,11,1,1
62939,19,-1,-1
62971,11,1,1
63059,19,-1,-1
63079,39,-1,-1
63131,11,1,1
63179,19,-1,-1
63199,39,-1,-1
63211,11,1,1
63299,19,-1,-1
63331,11,1,1
63391,31,1,1
63419,19,-1,-1
63439,39,-1,-1
63559,39,-1,-1
63599,39,-1,-1
63611,11,1,1
63659,19,-1,-1
63671,31,1,1
63691,11,1,1
63719,39,-1,-1
63839,39,-1,-1
64019,19,-1,-1
64091,11,1,1
64151,31,1,1
64171,11,1,1
64271,31,1,1
64279,39,-1,-1
64319,39,-1,-1
64399,39,-1,-1
64451,11,1,1
64499,19,-1,-1
64579,19,-1,-1
64591,31,1,1
64679,39,-1,-1
64811,11,1,1
64871,31,1,1
64891,11,1,1
64919,39,-1,-1
64951,31,1,1
65071,31,1,1
65099,19,-1,-1
65111,31,1,1
65171,11,1,1
65239,39,-1,-1
65371,11,1,1
65419,19,-1,-1
65479,39,-1,-1
65519,39,-1,-1
65539,19,-1,-1
65579,19,-1,-1
65599,39,-1,-1
65651,11,1,1
65699,19,-1,-1
65831,31,1,1
65839,39,-1,-1
65851,11,1,1
65899,19,-1,-1
65951,31,1,1
66071,31,1,1
66179,19,-1,-1
66191,31,1,1
66239,39,-1,-1
66271,31,1,1
66359,39,-1,-1
66431,31,1,1
66491,11,1,1
66499,19,-1,-1
66739,19,-1,-1
66791,31,1,1
66919,39,-1,-1
66959,39,-1,-1
67079,39,-1,-1
67139,19,-1,-1
67211,11,1,1
67219,19,-1,-1
67399,39,-1,-1
67499,19,-1,-1
67511,31,1,1
67531,11,1,1
67559,39,-1,-1
67619,19,-1,-1
67631,31,1,1
67651,11,1,1
67679,39,-1,-1
67699,19,-1,-1
67751,31,1,1
67819,19,-1,-1
67931,11,1,1
67939,19,-1,-1
67979,19,-1,-1
68059,19,-1,-1
68071,31,1,1
68099,19,-1,-1
68171,11,1,1
68239,39,-1,-1
68279,39,-1,-1
68311,31,1,1
68351,31,1,1
68399,39,-1,-1
68491,11,1,1
68539,19,-1,-1
68639,39,-1,-1
68659,19,-1,-1
68699,19,-1,-1
68711,31,1,1
68771,11,1,1
68819,19,-1,-1
68879,39,-1,-1
68891,11,1,1
69011,11,1,1
69019,19,-1,-1
69031,31,1,1
69119,39,-1,-1
69151,31,1,1
69191,31,1,1
69239,39,-1,-1
69259,19,-1,-1
69371,11,1,1
69379,19,-1,-1
69431,31,1,1
69439,39,-1,-1
69491,11,1,1
69691,11,1,1
69739,19,-1,-1
69779,19,-1,-1
69899,19,-1,-1
69911,31,1,1
69959,39,-1,-1
70019,19,-1,-1
70039,39,-1,-1
70079,39,-1,-1
70099,19,-1,-1
70139,19,-1,-1
70199,39,-1,-1
70271,31,1,1
70379,19,-1,-1
70439,39,-1,-1
70451,11,1,1
70459,19,-1,-1
70571,11,1,1
70619,19,-1,-1
70879,39,-1,-1
70919,39,-1,-1
70951,31,1,1
70999,39,-1,-1
71011,11,1,1
71059,19,-1,-1
71119,39,-1,-1
71171,11,1,1
71339,19,-1,-1
71399,39,-1,-1
71411,11,1,1
71699,19,-1,-1
71711,31,1,1
71719,39,-1,-1
71879,39,-1,-1
71999,39,-1,-1
72251,11,1,1
72271,31,1,1
72379,19,-1,-1
72431,31,1,1
72559,39,-1,-1
72671,31,1,1
72679,39,-1,-1
72719,39,-1,-1
72739,19,-1,-1
72911,31,1,1
72959,39,-1,-1
73019,19,-1,-1
73079,39,-1,-1
73091,11,1,1
73259,19,-1,-1
73331,11,1,1
73379,19,-1,-1
73471,31,1,1
73571,11,1,1
73651,11,1,1
73679,39,-1,-1
73751,31,1,1
73771,11,1,1
73819,19,-1,-1
73859,19,-1,-1
73939,19,-1,-1
73999,39,-1,-1
74051,11,1,1
74071,31,1,1
74099,19,-1,-1
74159,39,-1,-1
74219,19,-1,-1
74279,39,-1,-1
74411,11,1,1
74471,31,1,1
74611,11,1,1
74699,19,-1,-1
74719,39,-1,-1
74759,39,-1,-1
74891,11,1,1
75079,39,-1,-1
75239,39,-1,-1
75391,31,1,1
75431,31,1,1
75539,19,-1,-1
75571,11,1,1
75619,19,-1,-1
75659,19,-1,-1
75679,39,-1,-1
75731,11,1,1
75979,19,-1,-1
75991,31,1,1
76031,31,1,1
76079,39,-1,-1
76091,11,1,1
76099,19,-1,-1
76159,39,-1,-1
76231,31,1,1
76259,19,-1,-1
76379,19,-1,-1
76511,31,1,1
76519,39,-1,-1
76579,19,-1,-1
76631,31,1,1
76679,39,-1,-1
76771,11,1,1
76819,19,-1,-1
76831,31,1,1
76871,31,1,1
76919,39,-1,-1
76991,31,1,1
77171,11,1,1
77239,39,-1,-1
77279,39,-1,-1
77291,11,1,1
77339,19,-1,-1
77351,31,1,1
77471,31,1,1
77479,39,-1,-1
77591,31,1,1
77611,11,1,1
77659,19,-1,-1
77699,19,-1,-1
77719,39,-1,-1
77951,31,1,1
77999,39,-1,-1
78059,19,-1,-1
78079,39,-1,-1
78179,19,-1,-1
78191,31,1,1
78259,19,-1,-1
78311,31,1,1
78479,39,-1,-1
78539,19,-1,-1
78779,19,-1,-1
78791,31,1,1
78839,39,-1,-1
78919,39,-1,-1
78979,19,-1,-1
79039,39,-1,-1
79111,31,1,1
79139,19,-1,-1
79151,31,1,1
79231,31,1,1
79259,19,-1,-1
79279,39,-1,-1
79319,39,-1,-1
79379,19,-1,-1
79399,39,-1,-1
79411,11,1,1
